longitude,latitude
-98.0025,43.6895
-85.55,37.2333
147.5662,-35.3874
-84.6739,44.3592
-77.6176,34.3756
-82.7877,34.6751
-117.7333,54.95
-92.3365,34.868
40.102,-3.229
-148.9942,63.8675
-104.995,39.6615
-99.3667,55.9
-82.0313,34.2189
-106.5677,31.8755
-71.75,46.2
-82.7424,37.139
-105.2839,40.0027
-86.243,42.0153
145.8147,-21.7447
-86.5858,39.1663
152.0667,-27.4667
8.7356,63.6233
-98.1169,37.6442
-76.6453,36.07
-121.5119,44.0366
-81.3953,34.0265
116.1375,-33.9575
16.12,69.3233
76.73,31.7
-110.7314,32.2844
-38.3,-9.2
87.22,24.83
151.4383,-26.5639
-127.4833,50.4333
-111.6453,33.3916
-102.0668,36.3336
-97.8361,39.1417
-96.1664,36.5653
-122.9484,44.0505
33.733,-10.967
-95.2561,29.6077
-82.6182,36.0084
-107.7613,32.4302
-42.68,-9.02
147.0344,-35.5168
67.233,51.267
33.617,-11.883
149.7511,-36.5676
-46.65,-23.617
-99.947,37.8085
-104.2497,36.3028
-90.525,30.7094
-155.5114,19.1336
-71.9333,43.1167
-112.2333,42.6333
-94.9144,38.9694
-110.7833,32.2295
-78.1667,44.3167
-76.1449,41.2903
-84.2167,41.75
-80.0333,45.3333
-76.6403,39.1171
-145.5014,62.9453
-76.7291,34.7864
151.2107,-33.2894
-116.3066,33.6749
-81.1597,38.4831
143.5416,-35.3766
117.0106,-34.5714
-100.6456,40.5081
-94.581,38.9979
-94.5304,36.4251
10.8639,51.0783
-90.4492,41.5401
-82.4855,42.9816
-73.773,42.7636
-54.2167,48.7833
115.8644,-32.6453
-91.7647,38.1317
-86.2603,42.1444
-95.1667,17.5667
24.8242,61.3531
-112.3179,41.7095
-105.8609,40.0046
-96.3994,32.0317
-103.2742,45.8848
-53.22,-17.3
-106.9273,43.6825
152.595,-29.1967
-114.05,45.8667
138.9667,-34.8833
-77.9,40.7167
-48.35,-20.48
-79.7538,34.9724
-86.0331,42.055
-119.55,36.1
-86.2667,39.9
-85.5833,41.7778
-72.6667,45.5667
-121.5608,37.0031
144.1994,-14.9258
-103.5607,35.1366
-88.8,18.6
-77.5039,39.8508
-101.0225,34.3752
-42.68,-11.32
-113.3167,45.0
-108.7,54.3167
-87.3544,30.3374
-91.3844,36.9789
-113.0833,34.65
-47.87,-21.3
-80.1786,39.3782
-82.3993,35.3201
-124.2515,42.0319
-122.351,40.6241
-81.8758,41.3821
-100.7333,18.9
-53.05,-26.78
-71.2167,46.8333
14.19,55.56
-80.1784,33.0068
-81.1917,33.6834
75.2,17.43
-108.5086,37.3784
-117.6833,56.15
80.97,24.82
-116.3555,43.565
14.37,60.56
-114.7333,32.4333
88.367,22.983
-52.1,-22.83
-103.6,22.6833
-117.57,41.67
-85.3,35.3333
-78.8,34.8333
-106.8617,32.3067
-96.4266,40.869
79.65,10.53
-97.7167,41.1833
-42.23,-3.9
-93.9658,31.2447
-72.1811,43.3772
-90.5235,38.5914
-98.7416,37.6908
145.0833,-36.5333
-81.0572,34.0246
-41.883,-21.2
-82.4759,35.2324
-97.8889,44.6886
-84.6233,39.1547
147.4,-33.0
145.7,-36.8833
-98.0834,29.6293
-88.0842,45.8272
-49.18,-28.33
-40.13,-16.52
-80.0228,37.2168
-103.7,43.1333
150.2574,-31.0809
-80.8392,35.5939
22.383,-34.017
-106.714,35.1666
-122.5986,46.5058
78.167,11.65
143.6,-37.85
-101.3333,48.9667
-117.2,55.1
-78.5638,39.9575
-40.35,-5.92
-99.9,22.65
150.2167,-29.8333
-81.2879,28.6147
-54.183,-32.35
-102.6361,41.1489
-116.3833,31.2667
-98.5093,29.5725
-100.1955,29.2052
-70.6438,41.898
-122.8011,48.1117
-104.7833,40.0667
-101.7356,36.5731
148.1103,-34.8083
-81.2971,41.6779
146.6833,-42.1333
-75.814,42.8987
-122.6667,49.2833
-122.6399,45.6562
-76.8281,39.1543
-85.2384,34.0285
79.533,13.15
-82.8156,41.2952
-46.83,-23.82
85.0,25.5
-82.2586,34.8102
-77.9128,36.438
-88.8983,45.574
21.7864,61.4789
